author_id,scholarly_output,citations_per_pub,most_recent_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub
6504214415,14,19.4,2019,271,1.06,11,2,2004
6504219153,2,3.5,2015,7,0.16,3,0,2013
6504222250,6,3.7,2022,22,0.66,4,0,2004
6504223537,1,0,2020,0,0,1,0,2003
6504224403,2,2.5,2017,5,0.15,5,0,2000
6504224865,8,67.9,2016,543,3.53,24,4,2008
6504226432,3,23.3,2012,70,1.83,21,5,2003
6504231208,2,42,2015,84,1.33,5,1,2004
6504231568,2,2.5,2013,5,0.54,2,0,2000
6504232538,3,0,2021,0,0,2,0,2011
6504234360,1,0,2018,0,0,0,0,2018
6504234896,1,0,2013,0,0,1,0,2010
6504239414,1,18,2017,18,1.99,2,0,1998
6504239960,3,12.7,2018,38,0.68,4,0,2012
6504243377,3,14,2014,42,0.78,6,0,2003
6504246788,3,2,2018,6,0.12,2,0,2000
6504247638,12,1.5,2022,18,0.89,8,2,1997
6504249231,1,22,2012,22,0.86,2,0,2002
6504249248,10,3.4,2022,34,0.42,10,0,2011
6504249403,1,3,2013,3,0.5,4,0,2007
6504251356,1,7,2013,7,0.34,6,0,2003
6504252131,5,9.2,2018,46,0.42,8,0,1996
6504253064,1,1,2014,1,0,1,0,1996
6504255582,7,1,2022,7,0.07,3,0,2010
6504257356,3,3.7,2017,11,0.22,3,0,2015
6504258453,28,5.8,2021,162,0.47,9,0,2004
6504266467,9,19,2022,171,1.4,6,1,2003
6504271322,38,26.7,2022,1014,1.24,20,5,1999
6504271857,6,17.3,2022,104,2.01,12,4,2003
6504277854,13,15.2,2022,197,2.1,7,4,2016
6504292628,4,51.3,2021,205,3.14,5,2,2003
6504295452,4,5,2021,20,0.58,11,0,2019
6504295995,5,4.2,2013,21,0.35,11,0,2011
6504301155,1,20,2017,20,0.54,3,0,2017
6504301277,9,6.4,2022,58,0.35,5,0,2004
6504303941,1,1,2020,1,0.19,1,0,2020
6504312321,1,27,2013,27,0.59,3,0,2013
6504314657,2,1,2020,2,0.1,3,0,2013
6504314657,2,6,2016,12,0.39,3,0,2001
