,author_id,scholarly_output,citations_per_pub,citations,FWCI,h_index,FW_output_in_top,oldest_pub,no_first_old,no_pubs_old,avg_fwci_old,avg_fwvi_old,avg_citescore_old,risingStar
2489,57194779416.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,0.44,0.5,False
2490,57194779986.0,1,3.0,3,0.08,1,0,2017,0.0,1.0,0.08,0.94,7.1,False
2491,57194788665.0,1,8.0,8,0.52,2,0,2017,0.0,1.0,0.52,1.22,5.0,False
2492,57194794505.0,5,4.0,20,0.46,4,0,2017,0.0,1.0,0.6,1.23,8.6,False
2493,57194795844.0,9,4.1,37,0.59,4,0,2017,0.0,0.0,0.0,0.0,0.0,True
2494,57194796741.0,3,36.3,109,1.42,3,0,2017,0.0,1.0,1.34,1.1,10.9,True
2495,57194796836.0,2,40.0,80,1.77,2,0,2017,0.0,1.0,1.34,1.1,10.9,True
2496,57194827301.0,3,20.7,62,2.16,5,2,2017,0.0,2.0,2.0300000000000002,1.7149999999999999,4.45,False
2497,57194827533.0,10,3.5,35,0.53,4,0,2017,0.0,3.0,0.38000000000000006,0.9166666666666666,4.133333333333334,True
2498,57194828202.0,1,9.0,9,0.32,1,0,2017,0.0,1.0,0.32,1.46,3.4,False
2499,57194832317.0,9,5.4,49,2.54,5,3,2017,0.0,0.0,0.0,0.0,0.0,True
2500,57194834596.0,1,1.0,1,0.06,1,0,2017,0.0,1.0,0.06,0.3,5.7,False
2501,57194835196.0,4,6.0,24,1.11,3,0,2017,0.0,2.0,1.56,1.935,3.85,False
2502,57194835409.0,1,23.0,23,1.58,1,0,2017,0.0,1.0,1.58,4.33,2.5,False
2503,57194836561.0,1,5.0,5,0.15,1,0,2017,0.0,1.0,0.15,0.54,4.6,False
2504,57194836801.0,2,1.5,3,0.22,1,0,2017,0.0,2.0,0.22,0.89,0.25,False
2505,57194855144.0,1,12.0,12,0.54,2,0,2017,0.0,1.0,0.54,1.49,11.2,False
2506,57194855174.0,23,25.5,586,1.65,14,6,2017,0.0,13.0,1.6484615384615384,1.3053846153846154,13.292307692307695,False
2507,57194868051.0,5,0.4,2,0.03,1,0,2017,0.0,1.0,0.0,2.38,1.0,False
2508,57194869219.0,4,11.8,47,1.94,3,1,2017,0.0,1.0,4.24,1.6,0.0,True
2509,57194870195.0,6,5.5,33,0.24,3,0,2017,0.0,5.0,0.242,0.502,5.139999999999999,False
2510,57194871097.0,1,0.0,0,0.0,0,0,2017,0.0,1.0,0.0,2.38,1.0,False
2511,57194872304.0,1,0.0,0,0.0,1,0,2017,0.0,2.0,0.16,1.76,1.3,False
2512,57194873690.0,3,8.0,24,0.71,3,0,2017,0.0,2.0,1.06,0.77,5.2,False
2513,57194875236.0,6,5.2,31,0.61,3,1,2017,0.0,1.0,2.59,1.02,15.4,False
2514,57194876529.0,2,30.0,60,3.41,2,1,2017,0.0,1.0,5.82,2.24,5.0,False
2515,57194897479.0,1,1.0,1,0.1,1,0,2017,0.0,1.0,0.1,0.98,3.6,True
2516,57194897728.0,1,1.0,1,0.1,1,0,2017,0.0,1.0,0.1,0.98,3.6,False
2517,57194897768.0,2,3.0,6,0.65,2,0,2017,0.0,2.0,0.645,0.75,3.5,False
2518,57194898287.0,3,5.0,15,0.95,3,0,2017,0.0,2.0,0.68,0.635,1.4500000000000002,True
2519,57194900333.0,1,1.0,1,0.1,1,0,2017,0.0,1.0,0.1,0.98,3.6,False
2520,57194900676.0,10,9.0,90,2.54,4,1,2017,0.0,0.0,0.0,0.0,0.0,True
2521,57194901157.0,1,1.0,1,0.1,1,0,2017,0.0,1.0,0.1,0.98,3.6,False
2522,57194902346.0,1,4.0,4,0.17,1,0,2017,0.0,1.0,0.17,1.45,3.3,False
2523,57194904216.0,3,2.7,8,0.5,2,0,2017,0.0,0.0,0.0,0.0,0.0,True
2524,57194939807.0,2,12.5,25,0.76,4,0,2017,0.0,2.0,0.51,0.9650000000000001,4.0,False
2525,57194941237.0,1,9.0,9,0.29,1,0,2017,0.0,1.0,0.29,3.93,2.4,False
2526,57194941433.0,1,6.0,6,0.38,1,0,2017,0.0,1.0,0.38,4.29,1.0,False
2527,57194943166.0,1,65.0,65,5.5,6,1,2017,0.0,1.0,5.5,1.71,7.6,False
2528,57194944472.0,7,2.9,20,0.5,3,0,2017,0.0,0.0,0.0,0.0,0.0,True
2529,57194944776.0,16,1.6,25,0.24,3,0,2017,0.0,0.0,0.0,0.0,0.0,True
2530,57194945147.0,2,12.5,25,0.76,3,0,2017,0.0,2.0,0.485,0.635,6.300000000000001,False
